secp256k1,0xd88b5b823ab198782a96c71e8245192a5a2ede28397dab48bf89b30fa725cb58,0x41c49fbc06c69bd3334dc758d07e852a1002da5e2087b61ad6f81079d6e115fd
600c61ccdbbfa2eaf5706b259c88fddd621275fa338c7262f73e373e71ba323b,-92e9dda580db13a8f38e75c3be5efb1f8025bc690e34d23b4383d177ac9d9b61,131071
99392644629ebe1612096b2cb6a4a8797d9f8b65dbb344489a54335ad8ef94ca,-a0c60bc44ac0c7eeeba719660f9bd973e87e2da8473d37d22c6750774e2bcd96,131072
93eef1d46e4da04eabb8b065c8a090b7ef4eff01f6334f7fbbd3fae4a027f16f,-f895d9dc96806d1c85d295fc888056538d9e82c3292fe9ef85887f9d2c1f3dae,131072
6a9fc1cd48f33ef291247f09e83255f984d29fe2716f5d88cc80739db51b1a44,-5d3bcd31f9e26fa68cad0f8b6c0989105323bf235344ef93501a93eb21ac7b3b,131072
b8c829c54840738ce4c75a2a8e393a04a59b659dc986b34ef702e9f64ba0be4c,-75b9abad7c0d3e0a79fdae67fb4ac0dac35e0fb03f1dd3cb3afd0f61ebccb06f,131072
c828acc9ec3e0c10990976771e5bc388c7d62a23da3c8c1edfc6e89a2db8d67f,-2018c1257fbf0bf73eab73916dbeeb9a71fc6615044dd9dae7131a47435cf8e2,131072
ce0f8e20e760d492dd94e34a220963bb2b1b9c507d530a08278de50178ffb793,-236fffea9e8f7497e4fa8e698693b7a112f40f06aed510f4db58dcbd7f029c69,131072
cc2d0155d809a9e29f01c769bfba13ffa327c3006a92761125fa5bc15443aa45,-b32944fa774e8f8b206ee06637b418da324fee7f08efc8dbd19559386c7047cd,131072
d7ab63cfb65b0b4a18ee970f222839c675517fb4bd79eff3d8b9e202c8349d71,-f1306ed4e8fb03882bea1aa6f9de7835581fa05f6d549c51c8536edc0e78fb64,131072
6d51a8068ea8b879c3b468168b1b05a230d836309a50406fd730e7b79692c7ce,-4108378d61d99f500d2a1fd8bec2fa00ac23073953b9e723e3580ad2bad222d6,131072
def752d905ac0ddeb548d30cd48170b75d685ea02727d9f5e2839af9d962def7,-ed065dc966e95bb98510dc65afeddc3695bc7ddbfec8cc805f46904385fda8d4,131072
a14ad0978c16ddd826188257c67601e01799343ed2d2dfa059a6d1c1cb7bb544,-f85f766648efdd52cca25510b3e7c58583210435bb257933529493cebc411ce4,131072
99105bf1acc2638157dd26405307cb25cfd7feb6642dfe8dd269a7a871dd770b,-6f0c6e578bf2f101162a3e2ae60aaf12028ea514815eb897651d0f051cf3db19,131071
d09dcf357246e2f186f78b50755f9a24ab7673b7b5f86672426d89ed0550fc21,-f06aa1398dd18e8a42c74d7245a2108c447880ad2a9536e7f9cc20b21be523c2,131072
8faf50bb822ddf63026d5e19e1a22153f7a1f6110ae62fda01d52344872be788,-17f73d9f975a12a4bae894b06394b625d462e5961554a981e3603e8c64db4736,131072
fa31163c9b7ecac62553d41c57e4922342bdd90cc3e6ca6f0c206199dad23984,-f29f9efeb690739f3e0a6910a5af9a3e1d5f8ad80b8be50a4a696a4a6ed61411,131072
a42ee0d5abe6877a198ff396eb4254b92be6e1b31b3aedc35d8833d72d64f7a,-a4eec1391f92bb1d7343f1eec0c3feebecf3415798a3b9a1e3db0de9859a00dd,131072
