secp256r1,0xf4cc068b8e3ba19e820beebc29f48c81080179ccacff954b9179a7d8649946b0,0x53d900567829163fca1d2b57ae1fa44d86b489dc3b3bed28b99d872d1cd29c56
4852014d8cd4109e4bc6560c8268866275776a70539fccb8e6ffaaf366b2a2e,-a0530f63d9be1629ab8098d7723f670a83f0d2928f6ae8c5da408c7742853139,31
d0f12356043e79ef0371820809e590a9a0d18d175e873a67caf0fe76adb4acd9,-5cc6b6472f94321d1a768cf738bbb7c838747a17d4b2e1160a2c40841a4a8f6a,32
d355e57afa9451ac077e20e04713d0e30d1c7669551ccddebf70922722209ef1,-475bb3025f404e54c19450680d0845c2e1baa6b8b84b98ddc392a019e4647f52,32
7afc8c9d0e4275d22869af9e9a9882afa25d539671a95d2e6280ac1d13ffd80b,-945fdabc3cd445c5c7ddcfd3e6da0abf206feb0acb96b450ba11c17611376d3d,32
d42b9710b121fe052ae575ad1991b6eb19211d877f069f421b457cc6a49451bb,-1c027cbf512af64ecdd04689618bcc559056cca79a034d3d11173916b27888e3,32
3aa994a9a951602694f57faba73ea24204fc8f078f9608e5abdedbd8ddbd9ab2,-7228c47d767cc7831eb6294db3ebbf32cd4108b40961320159c9a1ead2608204,31
940052664680160cab4f442c606268589b7c46c3a76daeafd32f5a7905eaa485,-e280fbc67357478dd905934d28b0a686c9d4e8e9d2a0a0f6826a2c2e0bff0aad,32
a44adeb2e00c37ed352ec6d74a6f60d1001866c2a83675ce4c4c3c18e79c56d1,-b6ca0e9c607155d2105b17bacc325023f6ae27eed8ffd0c0d85d0c6c29797e57,31
811d2cfac822e9c5a09a5e75c8d6abe9cc2536d770f78b9fe7f8f32263946950,-ccffcf06840bee16796dc33fa84f7f6221e9e781e88555b56eca28a11d3053ff,31
aa1adf515dccc8d8b28a7dd4aed32f3fc81172c833c67aafb0f8dac9c78879af,-5c0aec02482289d87d33faf4cbdfaaab4aab2048328187ae5470f08a1b738734,32
5dd5a170155f3bb9c4267447fc84786e1877a799262f24b1d7250ae6fcd15593,-2e0bb7f7012e3a493f88fe7cf30edd6f97cea20b51f5355239e083bd246e142c,32
8fe57a7245d8f2afaa209cc7cd1dc6351c2aa0adbb18e5525205e0476e4cbd54,-d0d809942690555f9c8fd932ed3f9e97b4b6b639f9660f469b9f5d301167c663,32
a517879d097331a881c8e47734df1b4322e5da3c8d86ad39dbc01d4c0c1b99d0,-3b6cedd878947f45c92841c78ba0aa0a6d74cf8e7ead435ced9d60e44a49d5c8,31
5562e503b190c1211e603f0a59c2b9ec9e78a675743a767a5ebb5eaa330ef9f4,9a651171dd934cab3549c3041313f4674a453bc413b255d7ed68d740df8cc5,32
517353d5a1472400f3d93c0ff144d6ce113922c1e44e16dffee779454898ee3,-87d524857eed4fe6ad3047d346b924eda036f2a218d9a94563a846b5f0f86695,31
71a1281a712d65ae3ad64f63bee167ecabbee953caefe3e31996cc9ff95f807d,-682564e0337cf0e49109f9f9c18a54247532da4f5980fcd1de564848d51a919b,31
72bfe8873e5c37f625c19ea1991c6d6abf4b221740fa3082504e118140500c9,-e8c3c9345bbd5e1b10e38bee862d548ea2e66a8044ee3e4f1141034ea7877f8b,32
8af9ffa9be9dadf312868096fe63750ccf6babc90039705b920162b637166653,-b872baa7a3e2905a9da98eecce5f2fe96a765379f381200d07d2b3123f598bfa,32
73b92ad955302d3bc430032ea09a86c177f2fe326545eee70e60c6c244f17a1c,-8e98ec7306f6fed3c6c979c0896a4238056a8e48e600b34d1e697e97d5e3b4bb,32
52c93a21856ecd33fb9734024cfc2dfd583eaecf331f887ba0e27947571d2ffa,-97445238f8f99ab6c5e39a8dd226772c2dbd56d3515c9d7d28540da6586dfdaa,31
dd1714457ef1899627e1fc374ceef55909e1bed44d787e8bffff9a7a81fc8ba,-82c325bddda215a8891c94f83f17456ab8a82ff8fdcef204bc0918cccf2d7a46,32
7ce687913a34c13db2841b1db1b41409d38635d955b77acd264c6ff324ebbbe2,-96730024ba7284c9daac87b8139304c3ac98b72700d1523d6481a125ea701e06,31
b8588b755b5f26eeb5cf46ef4287aedc053e9b06a18bbac64643f60e93750282,-82ce19f64b258315e6480934b0f3936914e80a6f9ab1a8a64eead9bf6cb06858,31
ba20bd7d755751eb2be61217324985903214227a4aaa0407317b5f41e5e8c1d6,-99e891b19e773e5fe7ce81bf3cf5fd87c5f7abf191685c13f43a647205e11556,32
