secp256r1,0x20acaeb0bdaa50a6e3d8b66f5a240d2adc4a4662543e918142a31b12e24b43e0,0x7c6e4a30d81d73c2205ef8bdd93cedfe5a50e46b1dffc9a8176aaf76c1b2fe1a
89848d95ed0f292a2402617b1252ed5a07227895a6ee967dcbbe0658361d6d2d,-8d90dbb352eb6503d5d317a380f2439b4ed760bfbea4f35c5245b98525c240a3,37629
21774f1fd64a93ac0de8ca16d1f138bb75b7665cc966483f4db0f9db5fc8fd02,-11c1c9a34daa45367a05657fca25bc946d63e6fc93693a7313d1c2a9561c2dd4,57668
ea89b5b3a2eecaed41ac558635aafe288aa17384a8269473dc688346fa1c5329,-db7a536a6edafc566c473a97b18218803dca82c79202b594ed99d2fa7a76270,35934
8d69f2dcb1e162f86a7ebca7e27116641eb8c18b665b8640a9004106da1267f5,-be450555d8ef978e7c2d2024103fd6605f90afcc231ec018f67be3cc134cd771,55636
ddc806c7591b356bd8d194e0f76291300db561655ceedce98e808a4c38045976,-265dbcc1d84835a726321fc10df1f6bcbd2fa45390914546c4e3b6b48066acd4,48213
6db809e147f720c820a7cdab0f325250201b8e58ed82a990812c8a35271bbee2,-26385f788e4a91ad09eca4526e628ee48fb89a524147dc667db27ecc48730ff,35675
1f173a6a82a4b11a7207795db624220cda7eba09b056ff93d0a28ec9703eab00,-b5161b6d5caed3bf73e692481d78e3f86d12d0bee51db554542e403b1dcedf3c,51054
33f071c39cd683d4cdee5a57e18a996bd95d8dfa9d7cb1fac16a4f0c0a93e3cb,-ca31e6ae7539cc02c72250299f74a974ffb284d3cda6255f18c787de4d76c15f,56040
ea531faf62f28c88d5f559f378a346926dbe95ef7ba975b78dfe7b383c54b660,-f5dcccae1c6963c57433a989ff0f4f6e1efb83ada4a5c0dd87050181f9468913,53061
10f4f194556a808b7f755a5cb52de56304984485f595c2eed0054134afc971e5,-f20bcfd14895fad0b035bdff6b43f0349ec5ebdbec3a05d23571c341e52095f4,56698
25badbd51eab180c9925730f4833c21b7cbaeb53a44b81e19d18ca8e000383b9,-d64b393dd4f28dd0adf58910e032d0ba6bde319bd0811f4def648611ba13a9d1,64194
c8e979bb704a28c6b3b5e7fefdb91adc3cc2c1b3370e94ca9250f67b1160f88a,-8f90f43762425cd848eb5252026a23ca1f69eff80a16771d40988509114b83a1,64607
f913a1a2cf4d51eaed0f467bfc579c5a3ab60b80e40172e52f59e1bafa98f6b8,-296550a8d8390c2753d4cbb35923a333a6bbe8ca12decb7de972d7a55b231583,40909
921f15dd08f4fa818860f4c9754cd7adf57cde95659830a1dac697c646898833,-716de8940981dbb200ffa9b4f75e9bc60c55c973189193348dc8fc7f1df86a4c,61522
6d696c81f0f6f088b2755ee3e0eb46a0e1052deb5c4c86a3e84fdd154a340736,-c32da6409ca786b145c5bb4b11ccf05bc92f3510f23f3652e9c4e6ec38cc27fc,38119
49735f3805d4f5925696503cdac63f8bff11efbef2da7bea96766e84bb719778,-1b18af4e009a345b008d6768802ca57ec6965ecd964b8b81a8deefd2a67f77d0,64074
e9170926a9a9db8bb99d74a8cfc4cc6fb6b13c5898e4acc666ef135f6948d992,-c60440be5fbab8554a7bb2ceadbc56a5c5d3c03a13db65c946b4ce789bd35611,36988
d20a4ada32e128493e75095bddc7959342c3253e6b5adce5b2a9e509b46d89ec,-40a8bcca5d9ac19d050a4f58115070d5209308de14effb3d69eb40ced9020913,37061
c2f474ace27ae4aa90cac91152f412b687e413102a27c3770881580417764371,-485073a23b57c8e24a8312d153b5c4f67f977775a5e5986628b18ae6df0f7dab,62591
d3a20ef0c6bdae5a5d5c79d61abbb3983f8119b7c2074c6ea6820a363824a15b,-6ec695ddcfaf35bd9f965348571f3b4712659d733319ab2f15a142b952014f72,34164
