secp256r1,0xb6d40e4c62d6f221a50698a009d130e9d3c7a783752ed7a02a6c22fd554b20d8,0x491abf1e4bdf4a718d72520e11ce3ce91cbbb17c47d8b92d87835af9819d7abc
f36c018ea23cd5715de0ef13c0c5cd1a9bac2307c893d0eb8c77947e7be7e578,-1d6d4d3487df0ff3b8d908d258b937b7f6840a79165d50ad48b25befb3a80de6,31
3d1060160794bf3214a0a96a9c820baa21c6559a1beaa48c79351d55c07486b4,-adba1f9de95b803814f7b395b3c559ca4b571a2756d7882ba65d373a0b840ea1,32
70fab2aaf449ba1e2c343e07abe20713e3a69c781e6939d0cdb5c1b12e0461f4,-2a0ba9147e45563ef902f8220e4a26d1dd05723738a0f0b63c1ee87ade4987e,32
287c27851224d0d7d18c44b914c03c8d987605dfb7b646426c2630a3a4fea2bd,-6f3618015ec9ff8e6a71ad3c364f566d0c05a48d2130cb23da6161fe991185d4,31
bf4fb354743ea524f1ac852e1cfca6f14628344a3461c0c52ccef1ff0ca79e2e,-32b111065287ef1760bf69a0934c8e47d6ea5327bbb7560e7c17ca516249c714,32
c0915fd6c23a02534c07e49795f75472be6412110f5c8c8991797c07df7c1e8e,-137da0160a8ba858129332f813230fb4be6f89393aff9c3eefea0b015cbed875,31
12e8d735667bb5b5e4c992709e17a0dc6aad6bc4eab1a1f3dedf40c11b0a841a,-6070b18d78d8754345a1a43c92324be32d174705392b500a093946a089f38266,31
8171732e4e729263aa20199dc294f7649bd8c7b9222308ab5af5c585add085cc,-9bbcc4ff2ae9b900f67996bd2c2759c1117932dabd3e5144ec6ace73a03e7a28,32
83f2e52ff044729cf46ad2d874b9fe016ca30df46644e47b2b8be5f4056e2289,-e965ed44a05e338eeb53763c95186b8d8306a685afe5dcfa7b92b4e625dedfb7,31
60920b02e65432f1faf82c9899b6d7c2f29a5118074c3e425d86305e54dddc3,-b283cd7ca8fb0656681337739f061555707d01c21e3b366436c80cec7702a11,31
8cdc4366a991622334257e067542bd56387e498b34008e039bdb8774fa52e9d0,-4c1cab422a15c4ea4e15b6b0f195a7e6cbc77bfa37ab8a32f944d00cff046f5d,31
e150def6ee1ac51270d19a11549455d8e2ddcfa40a6ee14b7786014188b0fec4,-a0a6150dc84515c458bd71eddb39a190fbecfad0714418d1431c562a2b61366a,32
89f84bac66188b73aee7147b52c5f47b17e8bd3612450d76a3c6709bfef81a42,-5327be35d79c09029af736a1b13972bebd68bbf6591443ff3606fbeeb93d030f,32
3044733afc9a5c5d33b64d33116288d95ae3ec65fee185696eaea619232c0fe7,-bb6be20ff3236fa1d0fab6b41247939709cffef5f8ddf0ba3f2408e445a65017,32
363b579c61638e5ab1d8e7afd644a57e05b56190ef0926c5f3c12233f53ae54d,-653ee8db90192707b50926cd4bf509e5aa5a37741453c537075ab2c3ff7d3d0d,32
96e521e3d89d59d81bb11ac92695b80fe46aa10d81281d3b72e2fa1ce458a7d5,-c9d872da368037182f058fff4a1ab8a12b14296166ed18c06ac15bab306a09b8,32
49e74d0cf83ed0f41058efdbbeb3da676d9fe934ac7aa9ad0a1b79c640e56e12,-96bb364dd0b2ccff741d31ced12f8f1efc93f16eec2542a04f720a2c856eb3c0,31
c2351d6f542d7ad891f7f2f7a23eebdd5f0327e2a374440e5e189fc9b29fa62a,-9040b2b0f6498b49691142ea4354d36a2687f4c0090bf525b6d03117b26d8897,31
739629b22ceec54aa87fb1d5eef1f308c1ef7486dcb761b744a523a662b4f156,-ee7779c600ce86998c2faba10c3b60fca086db5f719ce8519ba8d6ab67f83b9,31
c2beb22cd2e0446a6bbc01ce03c1c202f02f3cbfb8b4b41a593fae71cb1d0523,-a316f789fa684bbc051289cfdc3f4167912ccf29b3d53895756cf17122474cba,31
469be5e5261e83b1fe1c49976219652db23137ea6768c4697909c8806b635ded,-e6fb67aeb40e53128437f06f5f85a0cec04e2aec6b4bdb9f06d30a333ac49b82,31
59aad3740b0ecb8ed67ea0af2496bf154faa67046ad51cea71590753aa76206d,-4aa9b947d891ad962b75b726a893c0d4c54bc972931aa5c8dd77855c3f97ae36,32
da8d027dda22f3e1303b963ff92dadbbfb88a16d1f9d10ae0570377667a4b136,-c8ff5356274e8380778608ed266a6bace9cda7b6992e1e938f5b1f3dbc6e36a2,31
82e5878ceb614f754d235bcc09a9df4e03f307ae1adfb5a9bfa5613f850519bf,-e94620e202b092ef94a2100d51ce01b992d2613d3cb24f4b387eb761539513e5,32
75b4d4208c0a7f012fd33086ae96d145e73ba28cc00a3d123c9b7cae73e48d0c,-c1e59fecd8a7995cb18d04111d83c4340021c7c9510ae2ea2121934ba8ea2eea,31
cbe3fd8d99122d9673047bb3d01eb2df7cc9a2f12637abafe29934d9eb7c2a9a,12a857075e3798eae189835787c1f6e447bca3da4435a6e983ab40742998e46,32
5466ff09ab13e8576349e7ccb7c12de120abe55cf3b2637078190b6e884bdfb,-e3682ee56c9b0d753fafa9b6bca50a56a4bf50ecd784b0442b86cc2ebc15d7a7,31
d55cee582faaa16efe599f52b7df0276d3ab6642916ce5c74d9d40db58911b72,-69540257597e9e785aab552cf076151c5d310de2ea845dd47c0a3b9b7495b923,32
1af434e4cbda02953556f21f2d1599cd42ea9dab3a91dd237437fffe239d121d,-a0beffac9d159490c854d3a02094a59008a778c32d7f2d64e277d9b37e2f786b,31
c49abc4d6070037501e93ca6a4e4d11d778589da46971509d602521646c524dd,-6dac12fb0d2569a6310fc4d6ba5e908673a66379db33de69b3d55dba979d81dd,32
40e9484647c58f0565faa1c4d68c95c23d39eab05fa882d1f52e150c3b0fb160,-c192e0e517c6c912558cbdf689ac2c3e57c5dce1541cc47098e92a8516ad5872,31
7438aa8d280c773c230f7798137e3dd67086e5dbe21fcae4c8915df25378ad2b,-d97b936b341efbf7336c711348457f608eb6cfbfb355aca4268b5a010eacf4f1,31
be524403e4f6d7029d11084bb12162d5882430128c23fbc22085a1e4f439526f,-ca02d30b5effa23fa3db96de16eb44c695d692725f9ffa5f3ee9f1d691e6ce,31
dbe07dc356a58b2436336ce6da17183e6efa87081737645a71f9e30b23503fb2,-f09ec5d1eae2bfc41d3d1e23d521af8757574a678066088ef91e7a52bd1b212a,31
f0fb27b653b030c6c482923862f7c344147cd93448b2a38b8b4c5d77fd2e4fa0,-68f9ec20fdfc03064d2e3aab3d4fb4056b759c8320eca5d903bfe138467b260b,32
b453e2900b7a79a5bbbe20e6a65fd691f36dde0cae1eec27a6940bffe7ce62de,-e56ecf117e109b84a386dcc67000e348b8c641c8ab95701e575d6dde9f833df,31
